Code Résidence ACM,Nom Résidence,Rue,Code postal,Ville,AdresseComplète,Longitude,Latitude,Zone_Sensible,Secteur,Date de Construction,Prochaine Rénovation,Date d'Acquisition,Nbre,<18,18-24,25-49,50-64,65-74,>=75
636,LA CHAMBERTE BASSE,pl. DES LILAS,34070,MONTPELLIER,0636 LACHAMBERTEBASSEPLDESLILAS 34070 MONTPELLIER,3.850493,43.602615,Hors QPV,Secteur Pas du Loup,19620101,20020101,19910501,1,4,8,4,4,1,2
658,SUZANNE VALADON,rueYEHUDI MENUHIN,34000,MONTPELLIER,0658 SUZANNEVALADON RUEYEHUDIMENUHIN 34000 MONTPELLIER,3.88503,43.617035,Hors QPV,Secteur Beaux Arts,20010601,20410601,20010601,1,10,4,13,0,3,2
667,LAS REBES,av du Pr. LOUIS RAVAZ,34080,MONTPELLIER,0667 LASREBESAVDUPRLOUISRAVAZ 34080 MONTPELLIER,3.850193,43.622562,QPV,Secteur Las Rebes,19671026,20071026,19990101,1,237,65,215,154,74,41
669,LE VIOGNIER,rue Joseph KESSEL,34000,MONTPELLIER,0669 LEVIOGNIERRUEJOSEPHKESSEL 34000 MONTPELLIER,3.848402,43.627983,Hors QPV,Secteur Bastide,20001015,20401015,20001015,1,7,3,6,6,3,1
672,LA FAGETTE,IMPASSE LA FAGETTE,34070,MONTPELLIER,0672 LAFAGETTEIMPASSELAFAGETTE 34070 MONTPELLIER,3.832463,43.6049,Hors QPV,Secteur Pas du Loup,20011201,20411201,20011201,1,17,7,17,11,3,2
673,PUVIS DE CHAVANNES,ROUTE DE NIMES,34000,MONTPELLIER,0673 PUVISDECHAVANNESROUTEDENIMES 34000 MONTPELLIER,3.885296,43.617233,Hors QPV,Secteur Beaux Arts,20010801,20410801,20010801,1,14,6,13,11,1,1
674,MAISONS DE LA MOSSON,rue DE LIEGE,34080,MONTPELLIER,0674 MAISONSDELAMOSSON RUEDELIEGE 34080 MONTPELLIER,3.813168,43.6245,QPV,Secteur Cap dou Mail,20000731,20400731,20000731,1,15,4,9,5,5,1
687,7 RUE DES VOLONTAIRES,7 RUE DES VOLONTAIRES,34000,MONTPELLIER,0687 7RUEDESVOLONTAIRES7RUEDESVOLONTAIRES 34000 MONTPELLIER,3.864483469,43.61006811,Hors QPV,Secteur Astruc,20020601,20420601,20020601,1,0,0,1,3,2,4
693,LE SOMAIL,av DE HEIDELBERG,34080,MONTPELLIER,0693 LESOMAILAVDEHEIDELBERG 34080 MONTPELLIER,3.812761,43.6245,QPV,Secteur Cap dou Mail,20010601,20410601,20010601,1,10,3,9,10,5,0
695,ESPINOUSE,AVENUE DE HEIDELBERG,34080,MONTPELLIER,0695 ESPINOUSE AVENUEDEHEIDELBERG 34080 MONTPELLIER,3.812715,43.62505,QPV,Secteur Cap dou Mail,20020501,20420501,20020501,1,6,1,5,5,5,2
705,GIACOMETTI,RUE BILLIE HOLIDAY,34000,MONTPELLIER,0705 GIACOMETTIRUEBILLIEHOLIDAY 34000 MONTPELLIER,3.836085,43.637905,Hors QPV,Secteur Bastide,20051115,20451115,20051115,1,12,3,11,8,2,0
706,VELASQUEZ,all DE PARIS,34080,MONTPELLIER,0706 VELASQUEZALLDEPARIS 34080 MONTPELLIER,3.832261,43.613529,Hors QPV,Secteur Celleneuve,20011101,20411101,20011101,1,9,3,9,6,2,1
707,LE BERNIN,RUE BILLIE HOLIDAY,34090,MONTPELLIER,0707 LEBERNINRUEBILLIEHOLIDAY 34090 MONTPELLIER,3.835562,43.638222,Hors QPV,Secteur Bastide,20011201,20411201,20011201,1,7,7,13,12,5,2
708,LE RODIN,RUE BILLIE HOLIDAY,34090,MONTPELLIER,0708 LERODINRUEBILLIEHOLIDAY 34090 MONTPELLIER,3.835289,43.637623,Hors QPV,Secteur Bastide,20030715,20430715,20030715,1,18,7,13,5,2,3
709,MONTESQUIEU,Chemin de Moularès,34000,MONTPELLIER,0709 MONTESQUIEUCHEMINDEMOULARES 34000 MONTPELLIER,3.894868,43.600212,Hors QPV,Secteur Le Damier,20040601,20440601,20040601,1,6,3,7,9,1,1
710,LE GRECO,all DE PARIS,34080,MONTPELLIER,0710 LEGRECOALLDEPARIS 34080 MONTPELLIER,3.832248,43.61375,Hors QPV,Secteur Celleneuve,20011031,20411031,20011031,1,3,3,3,9,3,2
712,LE CAROUX,rue DE LIEGE,34080,MONTPELLIER,0712 LECAROUXRUEDELIEGE 34080 MONTPELLIER,3.813178,43.625271,QPV,Secteur Cap dou Mail,20030401,20430401,20030401,1,13,7,10,7,4,3
713,GOETHE,chemin de moulares,34070,MONTPELLIER,0713 GOETHE CHEMINDEMOULARES 34070 MONTPELLIER,3.894938,43.600368,Hors QPV,Secteur Le Damier,20040601,20440601,20040601,1,8,1,10,3,1,0
715,DONATELLO,288 RUE BILLIE HOLIDAY,34090,MONTPELLIER,0715 DONATELLO288RUEBILLIEHOLIDAY 34090 MONTPELLIER,3.835003,43.637802,Hors QPV,Secteur Bastide,20040504,20440504,20040504,1,8,2,16,7,2,3
716,HAHNEMANN,rue DENIS PAPIN,34000,MONTPELLIER,0716 HAHNEMANNRUEDENISPAPIN 34000 MONTPELLIER,3.907987,43.610874,Hors QPV,Secteur Millénaire,20010301,20410301,20010301,1,8,1,14,7,4,1
717,LE CLOS D'ARENES,Rue GIOVANNI CASANOVA,34070,MONTPELLIER,0717 LECLOSDARENESRUEGIOVANNICASANOVA 34070 MONTPELLIER,3.887723,43.58873,QPV,Secteur Près d'arènes,20011201,20411201,20011201,1,52,14,54,19,2,6
718,LE GOYA,Allée DE PARIS,34080,MONTPELLIER,0718 LEGOYAALLEEDEPARIS 34080 MONTPELLIER,3.832319,43.613972,Hors QPV,Secteur Celleneuve,20020301,20420301,20020301,1,4,2,6,3,3,1
723,505 RUE DES AGATHOIS,505 RUE DE L'AGATHOIS,34080,MONTPELLIER,0723 505RUEDESAGATHOIS 505RUEDELAGATHOIS 34080 MONTPELLIER,3.824736,43.63076,QPV,Secteur Gémeaux,20020801,20420801,20020801,1,11,5,6,4,1,0
726,VERROCHIO,81 rue billie holiday,34090,MONTPELLIER,0726 VERROCHIO 81RUEBILLIEHOLIDAY 34090 MONTPELLIER,3.835695,43.637123,Hors QPV,Secteur Bastide,20020501,20420501,20020501,1,3,0,9,3,2,1
728,CELLINI,RUE BILLIE HOLIDAY,34090,MONTPELLIER,0728 CELLINIRUEBILLIEHOLIDAY 34090 MONTPELLIER,3.834736,43.638107,Hors QPV,Secteur Bastide,20030601,20430601,20030601,1,7,4,9,9,4,4
730,JARDINS DE LA VALSIERE,rue André FRANQUIN,34090,MONTPELLIER,0730 JARDINSDELAVALSIERERUEANDREFRANQUIN 34090 MONTPELLIER,3.830394,43.641689,Hors QPV,Secteur Malbosc,20021201,20421201,20021201,1,21,10,25,23,8,2
743,MICHEL ANGE,rue LA GALERA,34090,MONTPELLIER,0743 MICHELANGERUELAGALERA 34090 MONTPELLIER,3.836126,43.636925,Hors QPV,Secteur Bastide,20010601,20410601,20010601,1,10,1,15,7,2,1
744,LE BOTTICELLI,RUE LE TITIEN,34000,MONTPELLIER,0744 LEBOTTICELLIRUELETITIEN 34000 MONTPELLIER,3.910563,43.604111,Hors QPV,Secteur Millénaire,20060601,20460601,20060601,1,7,9,11,26,4,14
751,LA PORTE DU VALLON,rue DES JARDINS D'OMEYADES,34080,MONTPELLIER,0751 LAPORTEDUVALLONRUEDESJARDINSDOMEYADES 34080 MONTPELLIER,3.835747,43.631771,Hors QPV,Secteur Malbosc,20030601,20430601,20030601,1,10,5,11,10,3,2
752,ATRIUM,115 BD AEROPORT INTERNATIONAL,34000,MONTPELLIER,0752 ATRIUM115BDAEROPORTINTERNATIONAL 34000 MONTPELLIER,3.892186,43.609207,Hors QPV,Secteur Antigone,19860708,20260708,20030301,1,30,13,37,28,17,18
753,JARDINS DE LA LIRONDE,RUE VERROCHIO,34090,MONTPELLIER,0753 JARDINSDELALIRONDERUEVERROCHIO 34090 MONTPELLIER,3.912858,43.607071,Hors QPV,Secteur Millénaire,20060703,20460703,20060703,1,22,5,21,15,8,6
754,MELIES,RUE DES FRERES LUMIERE,34000,MONTPELLIER,0754 MELIESRUEDESFRERESLUMIERERUECAMILLEFLAMMARION 34000 MONTPELLIER,3.90473,43.610695,Hors QPV,Secteur Millénaire,20040915,20440915,20040915,1,17,7,16,14,1,0
755,BRUNELLESCHI,Avenue de Fes,34080,MONTPELLIER,0755 BRUNELLESCHIAVENUEDEFES 34080 MONTPELLIER,3.83334,43.6329,Hors QPV,Secteur Malbosc,20030801,20430801,20030801,1,23,8,24,10,7,3
756,AVICENNE,RUE ALFRED LEGAL,34090,MONTPELLIER,0756 AVICENNERUEALFREDLEGAL 34090 MONTPELLIER,3.838046,43.647858,Hors QPV,Secteur Bastide,20040430,20440430,20040430,1,10,8,16,12,3,3
757,LE MAILLOL,RUE BILLIE HOLIDAY,34090,MONTPELLIER,0757 LEMAILLOLRUEBILLIEHOLIDAY 34090 MONTPELLIER,3.835833,43.637531,Hors QPV,Secteur Bastide,20020329,20420329,20020329,1,7,2,13,6,3,1
758,Le CAPRI,RUE FEDERICO FELLINI,34920,LE CRES,0758 LECAPRIRUEFEDERICOFELLINI 34920 LECRES,3.938025,43.646156,Hors QPV,Secteur Agglomération,20051001,20451001,20051001,1,6,3,6,4,0,1
759,LES VILLAS DU SOLEIL,Avenue de Fes,34080,MONTPELLIER,0759 LESVILLASDUSOLEILAVENUEDEFES 34080 MONTPELLIER,43.6339727098541,3.8325906189993186,Hors QPV,PSLA et ventes,20050126,20450126,20050126,1,,,,,,
762,LES PIGEONNIERS,LIEU DIT LES CABRIERS ET LES,34830,CLAPIERS,0762 LESPIGEONNIERSLIEUDITLESCABRIERS&LESMERIDIENNES 34830 CLAPIERS,3.885581,43.652966,Hors QPV,Secteur Agglomération,20060401,20460401,20060401,1,15,16,19,26,6,0
763,MAGNOL,1145 Avenue de Fes,34080,MONTPELLIER,0763 MAGNOL1145AVENUEDEFES 34080 MONTPELLIER,3.836257,43.631699,Hors QPV,Secteur Malbosc,20061024,20461024,20061024,1,13,4,14,12,2,2
766,HYPATHIE,PLACE TYCHO BRAHE,34000,MONTPELLIER,0766 HYPATHIEPLACETYCHOBRAHE 34000 MONTPELLIER,3.908779,43.610901,Hors QPV,Secteur Millénaire,20050701,20450701,20050701,1,17,5,14,10,5,4
767,LE CASALE,RUE SEMIRAMIS,34080,MONTPELLIER,0767 LECASALERUESEMIRAMIS 34080 MONTPELLIER,,,Hors QPV,PSLA et ventes,20050901,20450901,20050901,1,,,,,,
768,LE PALIO,RUE DE LA CONSTITUANTE,34070,MONTPELLIER,0768 LEPALIORUEDELACONSTITUANTE 34070 MONTPELLIER,3.892982,43.601543,Hors QPV,Secteur Le Damier,20050301,20450301,20050301,1,35,18,37,14,6,2
769,MONTELS L'EGLISE,Rue Montels l'Eglise,34070,MONTPELLIER,0769 MONTELSLEGLISERUEMONTELSLEGLISE 34070 MONTPELLIER,3.885667,43.582581,QPV,Secteur Tournezy,20051201,20451201,20051201,1,46,21,53,30,8,8
770,PATIO,AVENUE DES PRES D'ARENES,34070,MONTPELLIER,0770 PATIOAVENUEDESPRESDARENES 34070 MONTPELLIER,3.88224,43.590942,Hors QPV,Secteur Près d'arènes,20051201,20451201,20051201,1,51,13,43,24,17,5
771,LEDOUX,ZAC MALBOSC,34080,MONTPELLIER,0771 LEDOUXZACMALBOSC 34080 MONTPELLIER,3.831375,43.633343,Hors QPV,Secteur Malbosc,20070301,20470301,20070301,1,19,4,20,7,2,4
772,DELAUNAY,Avenue de Fès,34080,MONTPELLIER,0772 DELAUNAYAVENUEDEFES 34080 MONTPELLIER,3.831857,43.633762,Hors QPV,Secteur Malbosc,20050601,20450601,20050601,1,21,2,19,7,3,7
773,COTE JARDIN,RUE PHILIPPE CASTAN,34090,MONTPELLIER,0773 COTEJARDINRUEPHILIPPECASTAN 34090 MONTPELLIER,3.888409,43.627037,Hors QPV,Secteur Aiguelongue,20050701,20450701,20050701,1,25,13,28,30,6,4
775,CAQUOT,rue DE L'INDUSTRIE,34070,MONTPELLIER,0775 CAQUOTRUEDELINDUSTRIE 34070 MONTPELLIER,3.883287,43.588593,QPV,Secteur Tournezy,20060710,20460710,20060710,1,21,11,27,17,5,2
776,LA PINEDE,Avenue de Bologne,34080,MONTPELLIER,0776 LAPINEDEAVENUEDEBOLOGNE 34080 MONTPELLIER,3.818991,43.630764,QPV,Secteur Gémeaux,20061015,20461015,20061015,1,4,5,3,4,0,0
777,FREYSSINET,rue DE L'INDUSTRIE,34070,MONTPELLIER,0777 FREYSSINETRUEDELINDUSTRIE 34070 MONTPELLIER,3.883664,43.589008,QPV,Secteur Tournezy,20060703,20460703,20060703,1,24,12,28,20,5,6
778,L'ANCIEN LAVOIR,rue DU JEU DE BALLON,34570,PIGNAN,0778 LANCIENLAVOIRRUEDUJEUDEBALLON 34570 PIGNAN,3.760564,43.582897,Hors QPV,Secteur Agglomération,20060401,20460401,20060401,1,24,8,20,9,5,3
779,ISCHIA,Rue Lazare ponticelli,34070,MONTPELLIER,0779 ISCHIARUELAZAREPONTICELLI 34070 MONTPELLIER,3.880298,43.59148,Hors QPV,Secteur Près d'arènes,20090615,20490615,20090615,1,29,8,30,11,5,1
780,PANAREA,AVENUE DES PRES D'ARENES,34070,MONTPELLIER,0780 PANAREAAVENUEDESPRESDARENES 34070 MONTPELLIER,3.88018,43.591953,Hors QPV,Secteur Près d'arènes,20100715,20500715,20100715,1,31,13,34,22,9,2
781,L'ESPERANTO,ZAC MALBOSC,34080,MONTPELLIER,0781 LESPERANTOZACMALBOSC 34080 MONTPELLIER,3.831007,43.634949,Hors QPV,Secteur Malbosc,20061023,20461023,20061023,1,36,7,28,17,9,0
784,LES TERRASSES DE L'ORTET,RUE GEORGES BRASSENS,34430,ST JEAN DE VEDAS,0784 LESTERRASSESDELORTETRUEGEORGESBRASSENS 34430 STJEANDEVEDAS,3.830112,43.575958,Hors QPV,Secteur Agglomération,20090421,20490421,20090421,1,16,5,15,12,0,0
786,LE TRIOLET,avenue augustin fliche,34000,MONTPELLIER,0786 LETRIOLETAVENUEAUGUSTINFLICHE 34000 MONTPELLIER,43.6300774901083,3.8607520686982775,Hors QPV,,20051010,20451010,20051010,1,0,0,0,0,0,0
788,LE RUDEL,rue louis roussel,34070,MONTPELLIER,0788 LERUDELRUELOUISROUSSEL 34070 MONTPELLIER,3.853689,43.586529,Hors QPV,Secteur Grisettes,20061001,20461001,20061001,1,37,17,49,31,10,6
789,CARDABELLE,Rue de TRANCAVEL,34070,MONTPELLIER,0789 CARDABELLERUEDETRANCAVEL 34070 MONTPELLIER,3.858756,43.589855,Hors QPV,Secteur Grisettes,20070315,20470315,20070315,1,12,5,12,10,4,2
791,LIPARI,Rue Lazare ponticelli,34070,MONTPELLIER,0791 LIPARIRUELAZAREPONTICELLI 34070 MONTPELLIER,3.879536,43.591759,Hors QPV,Secteur Près d'arènes,20090731,20490731,20090731,1,20,11,21,23,2,1
792,ANDRE DERAIN,Avenue des FRERES BUHLER,34080,MONTPELLIER,0792 ANDREDERAINAVENUEDESFRERESBUHLER 34080 MONTPELLIER,,,Hors QPV,PSLA et ventes,20090601,20490601,20090601,1,,,,,,
793,RENE CHAR,Avenue de Fes,34080,MONTPELLIER,0793 RENECHARAVENUEDEFES 34080 MONTPELLIER,3.830441,43.635319,Hors QPV,Secteur Malbosc,20070601,20470601,20070601,1,2,4,8,10,2,3
794,MARGUERITTE DURAS,Rue Le Tintoret,34000,MONTPELLIER,0794 MARGUERITTEDURASRUELETINTORET 34000 MONTPELLIER,3.91131,43.606125,Hors QPV,Secteur Millénaire,20071201,20471201,20071201,1,11,8,28,24,11,1
795,FOYER ETUDIANTS OCCITANI,Route de Ganges,34090,MONTPELLIER,0795 FOYERETUDIANTSOCCITANIROUTEDEGANGES 34090 MONTPELLIER,43.63756012417566,3.847384420904963,Hors QPV,,20100801,20500801,20100801,1,0,0,0,0,0,0
796,BELLINI,Avenue de Fes,34080,MONTPELLIER,0796 BELLINIAVENUEDEFES 34080 MONTPELLIER,3.834524,43.632992,Hors QPV,Secteur Malbosc,20080305,20480305,20080305,1,26,10,30,31,8,9
797,FAGONIA,rue PAUL CHOULOT,34080,MONTPELLIER,0797 FAGONIARUEPAULCHOULOT 34080 MONTPELLIER,3.837587,43.631523,Hors QPV,Secteur Malbosc,20061201,20461201,20061201,1,5,4,11,15,4,2
798,BERNARD DE VENTADOUR,Rue Claude Nougaro,34090,MONTPELLIER,0798 BERNARDDEVENTADOURRUECLAUDENOUGARO 34090 MONTPELLIER,3.847468,43.636539,Hors QPV,Secteur Bastide,20090608,20490608,20090608,1,20,6,16,13,1,1
800,MARIE LAURENCIN,Rue Le Tintoret,34000,MONTPELLIER,0800 MARIELAURENCINRUELETINTORET 34000 MONTPELLIER,3.911324,43.605438,Hors QPV,Secteur Millénaire,20090709,20490709,20090709,1,20,16,27,18,2,2
802,COMTE DE NICE,Avenue du COMTE DE NICE,34080,MONTPELLIER,0802 COMTEDENICEAVENUEDUCOMTEDENICE 34080 MONTPELLIER,3.811244,43.639194,Hors QPV,Secteur Gênes,20081017,20481017,20081017,1,31,2,32,8,8,9
803,BORIS VIAN,avenue du mondial 98,34000,MONTPELLIER,0803 BORISVIANAVENUEDUMONDIAL98 34000 MONTPELLIER,3.905233,43.602581,Hors QPV,Secteur Port Marianne,20100506,20500506,20100506,1,53,19,55,26,14,5
804,POUS DE LA SERS,290 RUE DU POUS DE LA SERS,34090,MONTPELLIER,0804 POUSDELASERS 290RUEDUPOUSDELASERS 34090 MONTPELLIER,43.62025245286691,3.862002297218914,Hors QPV,,20080801,20480801,20080801,1,0,0,0,0,0,0
805,COMTE DE NICE,Rue PIERRE NICOLAS,34080,MONTPELLIER,0805 COMTEDENICERUEPIERRENICOLAS 34080 MONTPELLIER,,,Hors QPV,PSLA et ventes,20080301,20480301,20080301,1,,,,,,
806,GALLA PLACIDIA,ZAC PORT MARIANNE,34000,MONTPELLIER,0806 GALLAPLACIDIAZACPORTMARIANNE 34000 MONTPELLIER,3.901819197,43.59798858,Hors QPV,Secteur Port Marianne,20080519,20480519,20080519,1,48,19,54,34,15,3
807,ARISTIDE BRIAND,AVENUE DU MONDIAL,34000,MONTPELLIER,0807 ARISTIDEBRIANDAVENUEDUMONDIAL 34000 MONTPELLIER,3.903002,43.602043,Hors QPV,Secteur Port Marianne,20091117,20491117,20091117,1,38,19,60,44,9,5
810,LES PORTES MERIDIENNES,rue DE L'INDUSTRIE,34000,MONTPELLIER,0810 LESPORTESMERIDIENNESRUEDELINDUSTRIE 34000 MONTPELLIER,3.882401,43.584129,QPV,Secteur Tournezy,20091130,20491130,20091130,1,9,2,17,7,3,0
811,RENE CASSIN,AVENUE DU MONDIAL,34000,MONTPELLIER,0811 RENECASSINAVENUEDUMONDIAL 34000 MONTPELLIER,3.903692,43.602112,Hors QPV,Secteur Port Marianne,20090806,20490806,20090806,1,40,14,39,20,13,3
813,RAOUL DUFY,RUE de MALBOSC,34080,MONTPELLIER,0813 RAOULDUFYRUEDEMALBOSC 34080 MONTPELLIER,3.829685,43.633629,Hors QPV,Secteur Malbosc,20090504,20490504,20090504,1,20,10,20,18,7,0
815,L'AMIRAL,RUE DE FAMAGOUSTE,34000,MONTPELLIER,0815 LAMIRALRUEDEFAMAGOUSTEPARCMARIANNE 34000 MONTPELLIER,3.900806,43.600693,Hors QPV,Secteur Le Damier,20100503,20500503,20100503,1,52,11,61,24,6,3
816,FRANCOISE SAGAN,RUE LE CARAVAGE,34000,MONTPELLIER,0816 FRANCOISESAGANRUELECARAVAGE 34000 MONTPELLIER,3.906899,43.609364,Hors QPV,Secteur Millénaire,20091218,20491218,20091218,1,35,15,44,24,4,4
817,CLAUDE SIMON,ZAC MALBOSC,34080,MONTPELLIER,0817 CLAUDESIMONZACMALBOSC 34080 MONTPELLIER,,,Hors QPV,PSLA et ventes,20081201,20481201,20081201,1,,,,,,
818,HENRI MATISSE,RUE de MALBOSC,34080,MONTPELLIER,0818 HENRIMATISSERUEDEMALBOSC 34080 MONTPELLIER,3.82988,43.634132,Hors QPV,Secteur Malbosc,20080201,20480201,20080201,1,25,5,26,15,6,1
819,GUY BONIFACE,RUE DE BUGAREL,34070,MONTPELLIER,0819 GUYBONIFACERUEDEBUGAREL 34070 MONTPELLIER,3.84699,43.591007,Hors QPV,Secteur Ovalie,20081201,20481201,20081201,1,12,3,13,9,2,0
820,JEAN PRAT,RUE ANDRE PUIG-AUBERT,34070,MONTPELLIER,0820 JEANPRATRUEANDREPUIGAUBERT 34070 MONTPELLIER,3.844104,43.591805,Hors QPV,Secteur Val De Croze,20090401,20490401,20090401,1,22,8,20,11,3,5
821,JEP DESCLAUX,RUE DE BUGAREL,34070,MONTPELLIER,0821 JEPDESCLAUXRUEDEBUGAREL 34070 MONTPELLIER,3.848407,43.591221,Hors QPV,Secteur Ovalie,20080808,20480808,20080808,1,15,4,11,11,4,2
822,RUE REYNES,Rue REYNES,34070,MONTPELLIER,0822 RUEREYNESRUEREYNES 34070 MONTPELLIER,3.863508138,43.60680346,QPV,Secteur Astruc,20100301,20500301,20100301,1,0,0,1,1,2,2
823,LAFEUILLADE,11 RUE LAFEUILLADE,34000,MONTPELLIER,0823 LAFEUILLADE11RUELAFEUILLADE 34000 MONTPELLIER,3.864054295,43.6047268,Hors QPV,Secteur Astruc,20110615,20510615,20110615,1,5,7,7,6,0,1
830,DJANGO REINHARDT,RUE JOACHIM DU BELLAY,34000,MONTPELLIER,0830 DJANGOREINHARDTRUEJOACHIMDUBELLAY 34000 MONTPELLIER,3.85547923,43.6066379,QPV,Secteur Gely,20130715,20530715,20130715,1,32,12,35,9,7,5
831,RUE DE LA TRAVERSETTE,ALLEE DU PARC,34660,COURNONSEC,0831 RUEDELATRAVERSETTEALLEEDUPARC 34660 COURNONSEC,3.706202,43.548981,Hors QPV,Secteur Agglomération,20091130,20491130,20091130,1,5,2,8,1,0,0
832,L'OREE DU BOIS,RUE DE L'OLIVERAIE,34660,COURNONSEC,0832 LOREEDUBOISRUEDELOLIVERAIE 34660 COURNONSEC,,,Hors QPV,PSLA et ventes,20110630,20510630,20110630,1,,,,,,
833,L'OREE DU BOIS,RUE DES GENETS SAUVAGES,34660,COURNONSEC,0833 LOREEDUBOISRUEDESGENETSSAUVAGES 34660 COURNONSEC,3.69985,43.541214,Hors QPV,Secteur Agglomération,20101215,20501215,20101215,1,14,4,13,5,0,0
834,ANCIENNE GENDARMERIE,rue ALBERTI,34970,LATTES,0834 ANCIENNEGENDARMERIERUEALBERTI 34970 LATTES,3.904937,43.571617,Hors QPV,Secteur Agglomération,19880101,20280101,20070313,1,28,8,18,4,0,0
836,CAMILLE CLAUDEL,rue fra angelico,34000,MONTPELLIER,0836 CAMILLECLAUDELRUEFRAANGELICO 34000 MONTPELLIER,3.905554,43.607494,Hors QPV,Secteur Millénaire,20101125,20501125,20101125,1,9,4,14,10,3,1
837,HYACINTHE RIGAUD,RUE de MALBOSC,34000,MONTPELLIER,0837 HYACINTHERIGAUDRUEDEMALBOSC 34000 MONTPELLIER,3.830581,43.63324,Hors QPV,Secteur Malbosc,20110726,20510726,20110726,1,41,6,36,20,5,5
838,LES BARRYS,RUE DES BARRYS,34660,COURNONSEC,0838 LESBARRYS RUEDESBARRYS 34660 COURNONSEC,3.710642074,43.55320742,Hors QPV,Secteur Agglomération,20140201,20540201,20140201,1,11,2,13,8,1,2
840,EOLIS,ALLEE REGINE DETAMBEL,34830,JACOU,0840 EOLISALLEEREGINEDETAMBEL 34830 JACOU,,,Hors QPV,PSLA et ventes,20110117,20510117,20110117,1,,,,,,
841,DIDEROT,chemin de moulares,34000,MONTPELLIER,0841 DIDEROTCHEMINDEMOULARES 34000 MONTPELLIER,3.893993,43.598892,Hors QPV,Secteur Le Damier,20100415,20500415,20100415,1,15,9,26,17,5,3
842,LA BORNIERE,ALLEE DE LA LIBERTE,34570,PIGNAN,0842 LABORNIEREALLEEDELALIBERTE 34570 PIGNAN,3.7516,43.579941,Hors QPV,Secteur Agglomération,20100806,20500806,20100806,1,33,13,31,21,4,0
844,JACQUES COEUR,252 Av THEROIGNE de MERICOURT,34000,MONTPELLIER,0844 JACQUESCOEUR 252AVTHEROIGNEDEMERICOURT 34000 MONTPELLIER,3.900368,43.597576,Hors QPV,Secteur Port Marianne,20100330,20500330,20100330,1,33,11,38,29,4,2
854,DE VLAMINCK,RUE ACHILLE DUCHÊNE,34080,MONTPELLIER,0854 DEVLAMINCKRUEACHILLEDUCHENE 34080 MONTPELLIER,3.827094,43.634888,Hors QPV,Secteur Malbosc,20101015,20501015,20101015,1,24,9,24,9,1,3
855,LE RUBENS,ZAC MALBOSC,34080,MONTPELLIER,0855 LERUBENSZACMALBOSC 34080 MONTPELLIER,3.828223,43.63459,Hors QPV,Secteur Malbosc,20100301,20500301,20100301,1,14,9,14,9,0,0
856,LAVALETTE,rue de LA VALETTE,34830,CLAPIERS,0856 LAVALETTE RUEDELAVALETTE 34830 CLAPIERS,,,Hors QPV,PSLA et ventes,20131118,20531118,20131118,1,0,0,0,0,0,0
858,PAUL CEZANNE,AVE DU PROFESSEUR J.LOUIS VIALA,34080,MONTPELLIER,0858 PAULCEZANNEAVEDUPROFESSEURJLOUISVIALA 34080 MONTPELLIER,3.823902796,43.63529502,Hors QPV,Secteur Malbosc,20110905,20510905,20110905,1,23,10,26,15,3,2
859,AQUALIS,ALLEE Joëlle WINTREBERT,34830,JACOU,0859 AQUALISALLEEJOELLEWINTREBERT 34830 JACOU,,,Hors QPV,PSLA et ventes,20120715,20520715,20120715,1,,,,,,2
